NCT Number,Study Title,Brief Summary,Conditions,Primary Outcome Measures,Secondary Outcome Measures,Start Date,Study Documents
NCT06681610,Testing Pulse Stimulation to Improve Motor Function in People With ALS: A Pilot Study,"The goal of this clinical trial is to assess the efficacy of TPS of the motor cortex on biomarkers and clinical endpoints in patients with ALS. The main questions it aims to answer are:

* Stage 1: Is there a change in the short intracortical inhibition (SICI) of the motor cortex from baseline to week 8?
* Stage 2: Is there a change from baseline to month 6 in the ALS functional rating scale-revised (ALSFRS-R) total score?

In stage 2, researchers will compare the group receiving the stimulation vs the group receiving a sham stimulation to see if there is a difference in motor cortex activity and in the ALSFRS-R score

Participants will receive either:

* the TPS treatment
* a sham TPS treatment",Amyotrophic Lateral Sclerosis (ALS),"Change in the short intracortical inhibition (SICI) of the motor cortex from baseline to week 8., baseline to week 8|Change from baseline to month 6 in the ALS functional rating scale-revised (ALSFRS-R) total score, The ALS Functional Rating Scale-Revised Each function is scored from 4 (normal) to 0 (no ability), with a maximum total score of 48 and a minimum total score of 0.

Higher scores mean a better outcome., baseline to week 24","Change plasma neurofilament light chain (NfL) levels, baseline to week 4 and 8|Changes in muscle strength, assessed by the Medical Research Council (MRC) sum score, baseline to week 4 and 8|Changes in hand-held dynamometry, baseline to week 8|Differences (treated vs sham) and change in the slow vital capacity (SVC), from baseline to month 6|Differences (treated vs sham) and change in plasma NfL levels, Candidate biomarkers are: SOD1, Ataxin 2, C90rf72, UNC13A, TDP43, stathmin 2, NfL and NfH levels, baseline to month 6|Change in Motor Evoked Potential (MEP) Amplitudes, ppTMS will be used to assess changes in motor cortex excitability via MEP amplitude (measured in millivolts), baseline to week 4 and 8|Change in Resting Motor Threshold, RMT will be recorded to assess baseline motor cortex excitability (measured as a percentage of maximum stimulator output), baseline to week 4 and 8|Change in Intra-Cortical Facilitation, ICF will be measured to assess synaptic excitability, baseline to week 4 and 8",2024-10-24,"Study Protocol, https://cdn.clinicaltrials.gov/large-docs/10/NCT06681610/Prot_000.pdf"
NCT06680765,"An Evaluation of the Effectiveness of a Maternal, Neonatal and Child Health Component for Matasa Matan Arewa and Smart Start Targeting Married Adolescent Girls in Nigeria and Ethiopia","Evidence on the effectiveness of interventions aimed at creating demand and access to pre-conceptual and antenatal care (ANC) among adolescent girls and young women (AGYW) from sub-Saharan Africa is scarce. A program called Adolescents 360 (A360) led by Population Services International in Nigeria, Ethiopia, Kenya and Tanzania supports adolescent girls to identify contraceptives as a relevant tool for enabling them to pursue their self-defined life aspirations. Avoiding or delaying childbirth is crucial for AGYW to pursue their life goals, but motherhood remains a vital aspiration for many. A360 respects these aspirations and supports AGYW to pursue motherhood when the time comes, safely and aligning with their unique preferences. In 2022, A360 set out to design a maternal, neonatal and child health (MNCH) component that would be layered to the existing sexual and reproductive health interventions in Ethiopia and Nigeria. A360 employed human-centered design (HCD) to design these components. The implementation of these components in real-world settings began in 2023. A360 has designed an evaluation to determine the effectiveness of the MNCH components in improving the AGYW's comprehensive knowledge of what is needed to pursue healthy pregnancies, increase their self-efficacy to access ANC and garner support from their key influencers in the process of pursuing healthy pregnancies. The evaluation's primary objective is to determine the effectiveness of the MNCH components at increasing comprehensive knowledge, self-efficacy and key influencer support to pursue healthy pregnancies among married AGYW in Nigeria and Ethiopia. The secondary objectives are: (a) to evaluate the component's effectiveness at increasing comprehensive knowledge of what care is required to attain healthy pregnancies, (b) to evaluate the component's effectiveness at increasing self-efficacy to attend ANC, (c) to determine the component's efficacy at eliciting support from AGYW's key influencers when they are pursuing healthy pregnancies, and (d) to surface the system-level barriers, facilitators, and opportunities for program improvement during the implementation of the MNCH components. The MNCH components are implemented in Kaduna and Jigawa states in Nigeria and in Oromia, Sidama, Amhara, South and Central regions in Ethiopia. The evaluation is based in the same geographies where the components are implemented. The evaluation uses an implementation-effectiveness hybrid design, blending an outcome evaluation and an implementation science component. The outcome evaluation constitutes of a quantitative survey using a longitudinal approach with two study arms, an intervention, and a comparison arm. It has three assessments: a recruitment phase, and two follow-ups (3 months after recruitment and 8 weeks post-partum (only for pregnant AGYW).

Participant recruitment is conducted using recruitment scripts after obtaining oral consent and the administration of a set of screening questions to assess eligibility. Full consenting procedures are executed and written consent obtained prior to involvement in any of the evaluation components. A structured questionnaire is used to gather quantitative data from the survey using a Computer Assisted Personal Interview (CAPI) approach. Furthermore, FGD, IDI and KII facilitation guides are used to gather qualitative data. During this process, all sessions are audio-recorded. Audio records are transcribed verbatim and translated. Data is collected by trained enumerators and qualitative researchers who are certified to conduct human subjects' research. Analysis of quantitative data will follow a repeated measures approach employing generalized estimating equations. The repeated measurements of each subject will be made at two times. Between group t-tests and chi-square tests of comparison will be conducted to identify secondary outcomes which show statistically significant differences between participants in the intervention and comparison arms. The qualitative data transcripts will be rigorously analyzed using NVivo or Dedoose. Open-coding and closed-coding will be utilized to identify themes in the qualitative data. Claim statements attributing change to key intervention drivers will be drawn from narrative stories of program beneficiaries guided by the intervention's theory of change.

The evaluation received ethical approvals from Ethiopian Midwives Association (EMwA) Institutional Review Commitee (IRC) and the PSI Research Ethics Board (REB) prior to the enumerators training and field data collection. Subsequently, the ethical approval letters were submitted to the sub-national health departments for their reference and support in the management of the field work.",Pre-conceptual Care|Antenatal Care|Postpartum Family Planning|Adolescent Maternal Health,"Comprehensive knowledge of what is needed to pursue a healthy pregnancy, The proportion of AGYW who have 'comprehensive' knowledge of what is needed at conception to attain a healthy pregnancy. It is estimated as a composite measure derived from a combination of questions assessing AGYW's knowledge about pre-conceptual behaviors (proper nutrition, screening tests and treatment for HIV and sexually transmitted infections, use of prenatal vitamins, and avoidance of harmful substances)., 3 months","Pre-conceptual self-efficacy, The average item scores from a seven-item likert scale with five response options (strongly disagree=1 and strongly agree=5) administered to pregnant AGYW at recruitment and repeated after 3 months, 3 months|Satisfaction of the support received from husband during pregnancy, The proportion of pregnant AGYW who are satisfied with the support they receive from husband during pregnancy, 3 months",2023-11-17,"Study Protocol, https://cdn.clinicaltrials.gov/large-docs/65/NCT06680765/Prot_000.pdf"
NCT06680713,Single Maximal Exercise Session and the Metabolic Response of Physically Inactive Young Adults (EASY-Study),"The goal of this clinical trial is to learn how the metabolic parameters of physically inactive young adults respond to a progressive exercise testing. The main questions it aims to answer are:

Does a progressive exercise test induce metabolic adaptations that differ from a normal or physiologic status? Does the changes in circulating insulin might indicate metabolic dysfunctions in physically inactive young adults? Researchers will compare the metabolic status at baseline (rest) and the responses immediately after the finalization of a progressive exercise test until fatigue by collecting blood and urine samples before and after the exercise testing.

Participants will:

Undergo a progressive exercise test on a cycle ergometer where vital signs such as heart rate, blood pressure, rating of perceived effort, pulse and muscle oximetry will be recorded during the test.

Visit the laboratory once where all procedure will be conducted there. Stay in touch for the following week in case some exercise-related symptoms develops.",Physical Deconditioning,"Glycemia, Glucose in mg/dl, Up to 2 months|Insulinemia, Insulin in uUI/ml, Up to 2 months","Total cholesterol, Total cholesterol in mg/dl, Up to 2 months|HDL cholesterol, HDL cholesterol in mg/dl, Up to 2 months|LDL cholesterol, LDL cholesterol in mg/dl, Up to 2 months|VLDL cholesterol, VLDL cholesterol in mg/dl, Up to 2 months|Triglycerides, Triglycerides in mg/dl, Up to 2 months|GOT (transaminase), GOT in U/L, Up to 2 months|GPT (transaminase), GPT in U/L, Up to 2 months|Proteinuria, Proteinuria in mg/dl, Up to 2 months|Creatinine clearance, Creatinine clearance in g/L, Up to 2 months|Albuminuria, Albuminuria in mg/L, Up to 2 months|Glucosuria, Glucosuria in mg/dl, Up to 2 months",2024-06-18,"Study Protocol, https://cdn.clinicaltrials.gov/large-docs/13/NCT06680713/Prot_000.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/13/NCT06680713/ICF_001.pdf"
NCT06680687,Survivorship Intervention Program in Western Kenya: Study Protocol,"In this study protocol, the investigators described a survivorship intervention program that will be performed at a referral hospital in Western Kenya. This will be a non-randomized prospective cohort study with a sequential hybrid effectiveness - implementation design. The study comprises of an educational component for caregivers of childhood cancer survivors and a follow-up component targeting healthcare providers with survivorship training and implementation of a late effects documentation tool.

Through these interventions the investigators aim to:

1. increase follow-up adherence of childhood cancer survivors;
2. increase caregivers' and healthcare providers' knowledge about childhood cancer diagnoses, treatment and the corresponding late effects risks;
3. document late effects at a childhood cancer outpatient clinic;
4. evaluate program implementation and satisfaction among recipients and providers.",Pediatric Cancer|Survivorship,"Percentage of non-adherent study participants, Survivors will be considered non-adherent when they do not appear for their scheduled visit within four weeks before or after the scheduled visit., 24 months: at 3, 6, 9, 12, 18 and 24 months.|Percentage of participants lost to follow-up, Survivors will be considered lost to follow-up when they miss an appointment and do not revisit the follow-up clinic after their missed appointment for more than six months., 24 months: at 3, 6, 9, 12, 18 and 24 months.|Reasons for non-adherence (questionnaire), Reasons for non-adherence (death, relapse, other logistic issues) will be explored through a phone call., 24 months: at 3, 6, 9, 12, 18 and 24 months.|Intentions to revisit the follow-up clinic (questionnaire), Intentions to revisit the follow-up clinic (yes/no, what can hospital do to support participant in adhering to follow-up visit) will be explored through a phone call., 24 months: at 3, 6, 9, 12, 18 and 24 months.","Caregiver knowledge (questionnaire), Caregivers' knowledge about disease history, treatment exposure, associations between treatment and late effects, follow-up care, late effects risk and risk perception.

Levels of knowledge (number of accurate/inaccurate/unknown responses), and knowledge uptake (changes in number of accurate responses) progression will be followed over time., Two months prior to survivor's treatment completion, assessed up to six months after completion of treatment|Healthcare provider knowledge (questionnaire), Caregivers' and healthcare providers' knowledge about disease history, treatment exposure, associations between treatment and late effects, follow-up care, late effects risk and risk perception according

Levels of knowledge (number of accurate/inaccurate/unknown responses), and knowledge uptake (changes in number of accurate responses) progression will be followed over time., From start healthcare provider training up to six months after the completion of the training session|Follow-Up Form documented late effects prevalence, The prevalence of late effects will be described as the percentage of individual survivors visiting the outpatient clinic for the duration of one year that reported a symptom (yes/no) as documented in the follow-up forms.

Late effects are categorized into physical outcomes (e.g. relapsed disease, heart failure), physical aspects of quality of life (e.g. fatigue, challenges exercising), psychosocial aspects of quality of life (e.g. anxiety, exclusion), neurocognitive aspects of quality of life (memory, educational problems) according to the International Childhood Cancer Outcome Project., 12 months: weekly.|Reach caregivers (Implementation measures data collection tool), % Eligible caregivers having received the booklet, video and Survivorship Card, characteristics of caregivers included in the study, 24 months: weekly|Reach healthcare providers (Implementation measures data collection tool), % Eligible healthcare providers trained, Characteristics of healthcare providers included in the study, 12 months: weekly.|Adoption caregivers (Implementation measures data collection tool), % Study participants taking the Survivorship Card to their clinic appointment, 24 months: at 3, 6, 9, 12, 18 and 24 months|Adoption healthcare providers (Implementation measures data collection tool), % Eligible survivors having received the follow-up form in clinic; % Follow-up forms completely filled by clinician; Investigations and referrals done; Actions adhering to form instructions, 12 months: weekly.|Caregiver satisfaction (questionnaire), Satisfaction questionnaire rating satisfaction on a 3-point Likert scale (highest score indicating maximum satisfaction, and lowest score indicating maximum satisfaction for inverse questions), At 6 months after receiving the educational intervention|Healthcare provider satisfaction (questionnaire), Satisfaction questionnaire rating satisfaction on a 5-point Likert scale (highest score indicating maximum satisfaction, and lowest score indicating maximum satisfaction for inverse questions), At 6 months after receiving the healthcare provider training|Caregiver recommendations, Open question exploring recommendations to improve educational intervention, At 6 months after receiving the educational intervention|Healthcare provider recommendations, Open question exploring recommendations to improve the Follow-Up Form, At 6 months after receiving the healthcare provider training",2024-11,"Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/87/NCT06680687/Prot_SAP_000.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/87/NCT06680687/ICF_001.pdf"
NCT06680401,Epithelioid Haemangioendothelioma Observational Study,"The EHE observational study was developed to obtain a high number of datas such as clinical presentation, natural history, and treatment outcomes, cto identificate cytokines and hormones as biomarkers and generate patient-derived preclinical models as a tool to assess the activity of anticancer agents and validate novel therapeutic targets",Clinical Presentation|Natural History|Treatment Outcomes,"Demographic description, To provide a demographic description of the population affected by advanced EHE, Through study completion, an average of 1 year|Patient status, To provide a description of clinical presentation, natural history, and treatment pattern in patients with advanced EHE, Through study completion, an average of 1 year|Tumor-related symptoms, To provide a description of tumour-related symptoms and their changes over time, Through study completion, an average of 1 year|Tumor-related pain, To provide a tumor-related pain assessment, Through study completion, an average of 1 year|Clinical prognosis, To prospectively identify clinical prognostic and predictive factors, Through study completion, an average of 1 year|radiological features, To describe the radiological features of the disease (group A, B, C, D, E), Through study completion, an average of 1 year|correlation between radiological features and outcome, To correlate radiologic features with the outcome and the tested plasma levels of the cytokines and hormones (group A, B, C, D, E), Through study completion, an average of 1 year|radiological response and systemic treatment, To assess radiologic response to systemic treatments by basing on RECIST 1.1 assessment (group B, D)., Through study completion, an average of 1 year",,2021-02-25,"Study Protocol, https://cdn.clinicaltrials.gov/large-docs/01/NCT06680401/Prot_000.pdf"
NCT06678594,Implementation of a Standardized Algorithm for Coronary Calcification With Plaque Modification,"In this study, the doctors will follow a set of rules that is called an algorithm. An algorithm is a step-by-step approach that doctors use to guide them when making decisions about the best way to treat their patients. Algorithms are useful because they help doctors decide on the best treatment approach based on the patient's individual circumstances and the best medical evidence available. The algorithm that is being used in this study is called a calcium modification algorithm and it will guide doctors when deciding on the best way to modify or break up the calcium in coronary arteries.

In this study, we aim to prove that the calcium modification algorithm, described above, safely and effectively guides doctors on the best way to modify calcium in patients' coronary arteries. By doing so, it will help doctors in making decisions about patients' treatment during their procedure. It will also help standardise care for patients, so patients receive the same treatment no matter what hospital they are in or what doctor is treating them.",Myocardial Ischaemia|Severely Calcified Coronary Stenoses|Coronary Calcification,"Minimum stent area (MSA), Minimum stent area (MSA) at the site of maximum calcification measured at the end of the index procedure, End of Index Procedure|Target lesion failure (TLF), Target lesion failure (TLF) (cardiovascular death, non-fatal myocardial infarction (MI) related to the target vessel, unplanned ischemia-driven target lesion revascularization) at 1 year, At Year 1","Individual components of TLF at 1 month and 1 year, Individual components of TLF at 1 month and 1 year, At 1 month and 1 year|Minimum stent area (MSA) at the end of the index procedure, Minimum stent area (MSA) at the end of the index procedure, At end of index procedure|Strategy Success, Strategy success defined as:

1. Successful stent delivery
2. ≥ 80% stent expansion
3. Complete stent apposition
4. No edge dissection
5. Full lesion coverage with \&lt;50% plaque burden at proximal and distal references
6. TIMI 3 flow, At end of index procedure|Target vessel revascularization (TVR), Target vessel revascularization (TVR), At Year 1|Target lesion revascularization (TLR), Target lesion revascularization (TLR), At Year 1|Stent thrombosis, Stent thrombosis, At Year 1|Stroke, Stroke, At Year 1|Cardiovascular death, Cardiovascular death, At Year 1",2024-09-24,"Study Protocol, https://cdn.clinicaltrials.gov/large-docs/94/NCT06678594/Prot_000.pdf"
NCT06676956,The SEQUENCE Trial: Evaluating Diagnostic Yield of Robotic-assisted Bronchoscopy When Staging EBUS is Performed First or Second in the Same Procedure,"Robotic-assisted bronchoscopy (RaB) has afforded proceduralists the ability to accurately reach the periphery of the lung for biopsy of pulmonary nodules1. This has paved the way for patients to undergo both biopsy of a peripheral nodule and a staging linear endobronchial ultrasound (EBUS) in the same anesthesia event, promoting quicker throughput from discovery of a lesion to guideline-adherent treatment2. Further, introduction and mainstream utilization of cone-beam CT (CBCT) has provided the bronchoscopist the ability to refine needle position with tool-in-lesion confirmation3. While there are no randomized clinical trials promoting efficacy of RaB and CBCT in comparison with other bronchoscopic methods, in single center retrospective studies, diagnostic yield has consistently proven to be in the 70-85% range, superior to prior technologies4-6.

One of the limitations of utilization of RaB and CBCT is the detrimental effect that atelectasis plays in the bronchoscopy procedure. This can lead to false positive radial EBUS (rEBUS) signals and non-diagnostic procedures7. This incidence of atelectasis has been evaluated prospectively, using a protocol featuring 8-10 cmH2O of PEEP and limiting hyperoxia8, and results suggest this ventilator strategy does an adequate job preventing intraprocedural lung collapse. However, this study only evaluated incidence of atelectasis and did not elaborate on its impact on diagnostic yield.

Further unknown is the optimal sequence of performance of RaB and a staging linear EBUS in patients with a radiographically normal mediastinum. Starting with either the RaB or Linear EBUS both have their pros and cons. The benefit to performance of a linear EBUS first is the potential to obviate the need for peripheral nodule biopsy by obtaining rapid, on-site pathologic feedback of occult nodal disease, reducing some of the risk of the procedure (i.e. bleeding and pneumothorax).6 Conversely, the pitfalls to performing linear EBUS first is the possible contribution of atelectasis resultant of the increased time from intubation to peripheral nodule biopsy, blood in the airway causing bronchospasm, and resorption atelectasis from hyperoxia9. There are no prospective data evaluating this in a randomized fashion, but one Monte Carlo simulation (with assumption of diagnostic yield from navigational bronchoscopy of 70% when performed first and 60% when performed second) suggested a higher diagnostic yield and less need for repeat procedure in the navigation first group, despite a 10% assumption of occult nodal disease10.

As outlined in the specific aims above, the overarching goals of this study are to assess in a multicenter, randomized clinical trial performed by members of the Interventional Pulmonary Outcomes Group (IPOG), whether sequence of staging EBUS plays a role in diagnostic yield, incidence of atelectasis, and safety outcomes in patients undergoing RaB.",Pulmonary Nodules,"Diagnostic yield from the procedure, This will be an outcome measure that is positive or negative based on whether a diagnosis was achieved during the procedure, This will be assessed 30 days after the procedure in a study visit that our teams conduct, it will not include the patient","Atelectasis, Using the IPOG atelectasis score (three outcomes) we will track the impact atelectasis has on the biopsy and diagnostic yield, This will be assessed day of procedure and recorded",2024-11-10,"Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/56/NCT06676956/Prot_SAP_000.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/56/NCT06676956/ICF_001.pdf"
NCT06676878,"Body Composition, Fitness, and Thermoregulation in Young Boys With Type I Diabetes vs. Healthy Soccer Players","The study aims to assess differences in body composition, exercise capacity, and thermoregulation between young soccer players with type 1 diabetes and their healthy peers. Real-time glycemic monitoring during exercise will provide insights for developing effective diabetes management strategies, enhancing athletes' health and performance.",Diabetes,"Skin temperature changes, Thermal images of the lower limbs will be taken using a thermal camera (Flir SC 640, manufactured in the USA) before, during, and after exercise (during recovery). The assessment will be performed in degrees Celsius (°C)., during the test","Glycemic monitoring, Athletes with type 1 diabetes (study group) and healthy individuals (control group) will also have a continuous glucose monitoring sensor (FreeStyle Libra, Abbott Medical, Warsaw, Poland, or similar) placed on the back of one arm. The sensors will be applied one week before the exercise test and will remain active for 14 days. Glucose levels will be measured in milligrams per deciliter (mg/dL)., during the test",2024-10-20,"Study Protocol and Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/78/NCT06676878/Prot_ICF_000.pdf"
NCT06674798,School-based e-Health Non-Communicable Disease (NCD) Prevention Program,"The goal of this sequential mixed method study is to assess the feasibility and effectiveness of a school-based eHealth-NCD prevention program intervention to improve adolescents' knowledge, attitude, and practices regarding NCDs and associated risk factors. It aims :

1. To identify barriers and facilitators associated with implementing a school-based eHealth intervention to improve the knowledge, attitudes, and practices of secondary and higher secondary school students in Pakistan regarding NCDs and their associated risk factors.
2. To explore the stakeholders' perceptions regarding the design and content of the School based eHealth NCD prevention Program to improve the knowledge, attitudes, and practices of secondary and higher secondary school students in Pakistan regarding NCDs and their associated risk factors.
3. To assess the feasibility and effectiveness of the School-based eHealth NCD prevention program in secondary and higher secondary school in Karachi.
4. To evaluate the effectiveness of the school-based eHealth NCD prevention program in significantly improving the knowledge, attitudes, and practices of secondary and higher secondary school students in Karachi, Pakistan, regarding NCDs and their associated risk factors, as compared to a control group not receiving the intervention.
5. To explore the perceptions of students regarding the usefulness acceptability and task technology fit of the School-based eHealth NCD prevention Program in improving the knowledge, attitude, and practices of Pakistani Higher Secondary School students regarding NCDs and their associated risk factors.

Researcher aim to evaluate the effectiveness of the school-based eHealth NCD prevention program in significantly improving the knowledge, attitudes, and practices of secondary and higher secondary school students in Karachi, Pakistan, regarding NCDs and their associated risk factors, as compared to a control group not receiving the intervention.

Participants of intervention group will attend health-promoting sessions delivered by trained facilitators, with each session lasting 30 to 40 minutes. There will be a total of six health-promoting sessions be focused on the leading risk factors associated with NCDs as reported by different studies such as physical inactivity, unhealthy diet and overweight, obesity, harmful alcohol consumption and tobacco use will be conducted in the classroom for the intervention group.","Noncommunicable Diseases|Health Knowledge, Attitudes, Practice|Non-communicable Disease Risk Factors","To assess feasibility (Recruitment rate) of the School-based eHealth NCD prevention program, Measurement Tool: Percentage of participants enrolled out of the total number invited.

Units of Measure: Percentage (%). Description: It will be measured as the percentage of participants enrolled out of the total number of invited participants at baseline phase. The trial will be considered feasible if recruitment rates exceed 70%, 2 months|To assess feasibility (Retention Rate) of the School-based eHealth NCD prevention program, Measurement Tool: Percentage of retained participants at 3 months among those initially recruited.

Units of Measure: Percentage (%). Description: The retention rate will measure the percentage of participants who remain available for follow-up assessments at 3 months among those recruited initially. The trial will be considered feasible if retention rates exceed 70%, 3 months|To assess feasibility (treatment fidelity) of the School-based eHealth NCD prevention program, Measurement Tool: Proportion of successfully conducted health-promoting sessions compared to planned sessions.

Units of Measure: Proportion. Description: Treatment fidelity will be assessed as the proportion of health-promoting sessions that are successfully delivered as planned within the intervention period. A treatment fidelity rate above 70% will be used as a threshold for determining the program's feasibility in maintaining session integrity., 2 months|To assess effectiveness of the School-based eHealth NCD prevention program in improving the knowledge among secondary and higher secondary school students regarding the NCDs and their associated risk factors., Measurement Tool: Knowledge will be assessed using a set of 26 questions adapted from study ""An intervention program to reduce non-communicable diseases related behavioral risk factors among adolescents in institutional settings of Bangladesh"".

Units of Measure: Percentage score Description: Each question will be scored as either correct or incorrect, on the basis of standard medical textbooks and guidelines. The total knowledge score will be calculated, with a higher score indicating a better Knowledge. Based on previous Knowledge, Attitudes, and Practices (KAP) studies where a score of 60% or above has been used to categorize participants as having a satisfactory level of knowledge. This means that participants who achieve a score equal to or above 60% on the knowledge assessment will be considered to have a satisfactory level of knowledge regarding NCDs and their associated risk factors., 2 months|To assess effectiveness of the School-based eHealth NCD prevention program in improving the attitude among secondary and higher secondary school students regarding the NCDs and their associated risk factors., Measurement Tool: A 14-item attitude questionnaire using a Likert scale adapted from study ""An intervention program to reduce non-communicable diseases related behavioral risk factors among adolescents in institutional settings of Bangladesh""..

Units of Measure: Total score of likert scale Description: Participants will be asked to rate each item on a 3-point scale, except for one item which will be rated on a 4-point scale. The scores will be added, and higher scores in the attitude section will indicate a more positive attitude towards NCDs' prevention. The attitude section will have a possible minimum score of 16 points and a possible maximum score of 49 points. In accordance with previous studies, the cut-off value for attitude will be set at 60%. This threshold is derived from existing research where a score of 60% or higher has been identified as an indicator of a positive or favorable attitude., 2 months|To assess effectiveness of the School-based eHealth NCD prevention program in improving the practices of secondary and higher secondary school students regarding the NCDs and their associated risk factors., Measurement Tool: 22 questions will measure the dietary habits, physical activity, smoking, and substance abuse practices based on World Health Organization (WHO) recommendations and standard practices adapted from study ""An intervention program to reduce non-communicable diseases related behavioral risk factors among adolescents in institutional settings of Bangladesh"".

1. Dietary risk behavior: presence of at least 2 of the 4 habits i.Inadequate fruit consumption: Less than 5 servings per day ii.Inadequate vegetable consumption: Less than 5 servings per day iii. Extra or raw salt consumption salt during every meal iv. Consuming Sugar Sweetened Beverage more than 3 days per week
2. Physical Inactive: less than 60 min of physical activity of moderate intensity per day
3. Smoking regularly in the last 30 days or exposed to passive smoking more than 3 days per week or any amount of alcohol intake or any substance abuse in the last 30 days will be regarded as at risk., 2 months",,2024-03-01,"Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/98/NCT06674798/Prot_SAP_000.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/98/NCT06674798/ICF_001.pdf"
NCT06674473,Evaluation of Long-term Isokinetic Training of Knee Joint,"The goal of this clinical trial is to assess the effectiveness of isokinetic rehabilitation training under optimal stiffness in patients undergoing knee joint rehabilitation. The main questions it aims to answer are:

* Does isokinetic training under optimal stiffness lead to greater force exertion compared to traditional bodyweight training?
* What are the long-term (6-week) effects of isokinetic training under optimal stiffness on joint flexibility and muscle strength? Researchers will compare the effects of isokinetic training under optimal stiffness to traditional bodyweight training to see if isokinetic training produces superior improvements in muscle strength, flexibility, and overall functional recovery.

Participants will:

* Perform regular training sessions using a portable knee joint isokinetic trainer, customized to their optimal stiffness for maximum force exertion.
* Engage in a 6-week rehabilitation program, with assessments at the beginning, and end of the study to evaluate changes in muscle strength, and functional recovery.",Knee Injuries and Disorders,"Cross-sectional area of the quadriceps, Using MRI，Up to 6 weeks, Before 1st practice, and after 12th practice (6 weeks * 2 practices/week = 12 practices)|Cross-sectional area of the hamstrings, using MRI， Up to 6 weeks, Before 1st practice, and after 12th practice (6 weeks * 2 practices/week = 12 practices)|Peak flexion and extension knee torque, Using an integrated torque sensor, During each practice (6 weeks * 2 practices/week = 12 practices).|Average flexion and extension knee torque, During each practice (6 weeks * 2 practices/week = 12 practices).|Flexion and extension knee work, Work=Torque\*Speed, In each ptractice (6 weeks * 2 practices /week = 12 practices).","Thigh circumference, 10 cm proximal to the superior pole of the patella, In each ptractice (6 weeks * 2 practices /week = 12 practices).|Knee joint pain score (VAS score), Up to 6 weeks，max. =100, min. =0, Visual Analogue Scale=VSA, A higher score indicates greater pain intensity., Before 1st practice, and after 12th practice (6 weeks * 2 practices/week = 12 practices)",2024-11-01,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/73/NCT06674473/Prot_SAP_ICF_000.pdf"
